,rank,ranking_change,product_title,item_category1,item_category2,brand_name,pageview,sales_qty,like,rating,review_count,article_tag_list,price,age_18_ratio,age_1923_ratio,age_2428_ratio,age_2933_ratio,age_3439_ratio,age_40_ratio,gender_male_ratio,gender_female_ratio,n_label
0,1,0,[3M 신슐레이트]오리지널 M-1965 피쉬테일 파카_Original Khaki,아우터,사파리/헌팅 재킷,라퍼지스토어,702000,21000,29329,4.7,4990,개파카 피쉬테일 밀리터리 아우터 야상 오버핏 신슐레이트 오리지널점퍼 ,94905,28,23,23,13,7,6,73,27,아우터 특가
1,2,0,2 TONE ARCH HOODIE GRAY,상의,후드 티셔츠,예일,480000,57000,86940,4.8,15520,루즈핏 후디 로고후드 후드티 후드 로고 ,59250,38,26,17,8,3,8,55,45,한정 판매
2,3,0,2WAY 스웻 후드 집업 (MELANGE GREY),아우터,후드 집업,토피,371000,56000,59023,4.8,18079,오버핏 후드 집업후드 트레이닝세트 셋업 후드집업 세트 베이식위크 ,39000,31,33,21,7,2,6,70,30,한정 판매
3,4,1,Deep One Tuck Sweat Pants [Grey],바지,트레이닝/조거 팬츠,제로,506000,59000,64581,4.8,22045,스웻 오버사이즈 와이드 트레이닝 팬츠 이지웨어 플리츠팬츠 ,35685,30,33,22,7,2,6,78,22,nan
4,5,0,Classic Sweat Pants [Grey],바지,트레이닝/조거 팬츠,제로,292000,82000,65034,4.8,51616,스웻 조거 트레이닝 팬츠 조거팬츠 이지웨어 스웻컬렉션 ,35685,27,27,21,12,6,7,79,21,nan
5,6,0,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],바지,슈트 팬츠/슬랙스,무신사스탠다드,304000,145000,75192,4.8,103649,정장바지 퍼펙트슬랙스 정장팬츠 기본슬랙스 트라우저 허리밴딩 셋업 유아인착장상품 무탠픽업 감사세일 ,26774,27,21,22,16,7,7,90,10,감사세일
6,7,1,[송필드pick] TAG TO HOODIE - BLACK,상의,후드 티셔츠,브라운브레스,243000,10000,22615,4.9,3582,오버핏후드 루즈핏후드 남녀공용 기모후드 스웨트셔츠 스웻셔츠 기모 ,59685,36,29,17,7,3,8,49,51,한정 판매
7,8,1,와이드 히든 밴딩 슬랙스 [블랙],바지,슈트 팬츠/슬랙스,무신사스탠다드,227000,75000,44988,4.8,74848,정장바지 퍼펙트슬랙스 트라우저 셋업 와이드팬츠 루즈핏 와이드핏 유아인착장상품 무탠픽업 ,31584,23,26,25,14,6,6,88,12,무신사 단독
8,9,1,플리스 집업 자켓 블랙,아우터,플리스/뽀글이,커버낫,392000,19000,48334,4.7,15295,자켓 집업 후리스 양털뽀글이 뽀글이 양털 플리스컬렉션 이도현PICK ,52716,42,22,16,7,3,10,50,50,아우터 특가
9,10,1,[비건 레더] 필드 자켓 블랙,아우터,레더/라이더스 재킷,파르티멘토,164000,17000,30255,4.8,6292,레더 라이더자켓 라이더 가죽자켓 레더자켓 오버핏자켓 비건레더 ,82258,21,39,26,8,3,3,65,35,한정 판매
10,11,1,[3M 신슐레이트]오리지널 M-1965 피쉬테일 파카_Vintage Black,아우터,사파리/헌팅 재킷,라퍼지스토어,251000,5500,11314,4.7,4990,개파카 피쉬테일 밀리터리 아우터 야상 오버핏 신슐레이트 오리지널점퍼 ,94905,27,24,26,12,6,5,61,39,아우터 특가
